category,brand,vat,title,sku,weight,price,stock,offer,summary,text,images,options
Bags & Backpacks,Sandqvist,21%,Emil Backpack,73532-10,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-emil-backpack.jpg,product-emil-backpack-2.jpg",
Decoration,Sandqvist,21%,Lighthouse Lantern,73253-19,1.73,69.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-lighthouse-lantern.jpg,product-lighthouse-lantern-2.jpg",
Decoration,Sandqvist,21%,Wall Clock,73253-50,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-wall-clock.jpg,product-wall-clock-2.jpg",
Decoration,Sandqvist,21%,Door Bumper,73253-30,1.73,29.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-door-bumper.jpg,product-door-stop.jpg",
Decoration,Sandqvist,21%,Ceramic Tealight Holder,73253-21,1.73,28.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-ceramic-tealight-holder.jpg,product-ceramic-tealight-holder-2.jpg",
Decoration,Sandqvist,21%,Floral Scented Sachet,73532-28,1.73,19.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-floral-scented-sachet.jpg,product-floral-scented-sachet-2.jpg",
Decoration,Sandqvist,21%,Stained Glass Vase,73532-25,1.73,39.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-stained-glass-vase.jpg,product-stained-glass-vase-2.jpg,Normann Copenhagen - Dir cut-371852592.mp4","{""color"":[""blue"",""orange""]}"
Decoration,Sandqvist,21%,Coaster Set,73532-21,1.73,19.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-coaster-set.jpg,product-coaster-set-2.jpg",
Decoration,Sandqvist,21%,Colourful Coasters,37532-55,1.73,19.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-colourful-coasters.jpg,product-colourful-coasters-2.jpg","{""color"":[""green"",""orange""]}"
Decoration,Sandqvist,21%,Gold Pattern Vase,37532-52,1.73,79.00,10,39.00,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-gold-pattern-vase.jpg,product-gold-motif-vase.jpg,product-gold-pattern-vase.jpg,product-gold-motif-vase.jpg,product-gold-pattern-vase.jpg,product-gold-motif-vase.jpg",
Decoration,Sandqvist,21%,Wood Tray,37532-30,1.73,39.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-wood-tray.jpg,product-wood-tray-2.jpg",
Essentials,Sandqvist,21%,Specs Sunglasses,73253-37,1.73,109.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-specs-sunglasses.jpg,product-specs-sunglasses-2.jpg",
Essentials,Sandqvist,21%,Press Coffee Maker,73253-32,1.73,39.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-press-coffee-maker.jpg,product-press-coffee-maker-2.jpg,Normann Copenhagen - Dir cut-371852592.mp4","{""color"":[""blue"",""white""]}"
Essentials,Sandqvist,21%,Plain Glass Bottle,73253-25,1.73,12.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-plain-glassbottle.jpg,product-plain-glassbottle-2.jpg",
Essentials,Sandqvist,21%,Amber Body Lotion,73253-17,1.73,12.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-amber-body-lotion.jpg,product-lily-body-lotion.jpg",
Essentials,Sandqvist,21%,Havana Sunglasses,73253-15,1.73,89.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-havana-sunglasses.jpg,product-havana-sunglasses-2.jpg",
Essentials,Sandqvist,21%,Ceramic Watch,73253-5,1.73,259.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-ceramic-watch.jpg,product-ceramic-watch-2.jpg","{""color"":[""gray"",""green"",""orange""]}"
Essentials,Sandqvist,21%,Thermo Flask,73253-1,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-thermo-flask.jpg,product-thermo-flask-2.jpg",
Essentials,Sandqvist,21%,Glass Pitcher,73532-55,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-glass-pitcher.jpg,product-glass-pitcher-2.jpg",
Essentials,Sandqvist,21%,Wedge Slippers,73532-35,1.73,29.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-wedge-slippers.jpg,product-wedge-slippers-2.jpg",
Essentials,Sandqvist,21%,Eco Body Lotion,73532-17,1.73,12.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","eco-lotion.jpg,eco-lotion-2.jpg,eco-lotion-7.jpg,eco-lotion-4.jpg,eco-lotion-6.jpg,eco-lotion-3.jpg",
Essentials,Sandqvist,21%,Textured Notebook,73532-12,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-textured-notebook.jpg,product-textured-notebook-2.jpg",
Essentials,Beats By Dre,21%,Solo Headphones,73532-7,1.73,190.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-solo-headphones.jpg,product-solo-headphones-2.jpg,product-solo-headphones-3.jpg","{""color"":[""brown"",""white""]}"
Essentials,Sandqvist,21%,Embrodiered Slippers,37532-50,1.73,179.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-embrodiered-slippers.jpg,product-embrodiered-slippers-2.jpg",
Essentials,Sandqvist,21%,Folder Calendar,37532-35,1.73,12.00,0,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>","product-folder-calendar.jpg,product-folder-calendar-2.jpg",
Interior,Normann,21%,Modern Shell Chair,73253-55,1.73,234.00,10,208.00,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-classic-chair.jpg,product-classic-chair-2.jpg,product-classic-chair-3.jpg","{""color"":[""black"",""beige"",""brown""]}"
Interior,Normann,21%,Pendant Lamp,73253-52,1.73,89.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-pendant-lamp.jpg,product-pendant-lamp-2.jpg","{""color"":[""brown"",""gray"",""white""]}"
Interior,Normann,21%,Canvas Basket,73253-46,1.73,39.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-canvas-basket.jpg,product-canvas-basket-2.jpg",
Interior,Normann,21%,Round Tray Table,73253-7,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-round-tray-table.jpg,product-round-tray-table-2.jpg",
Interior,Normann,21%,Magazine Basket,73253-3,1.73,28.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-magazine-basket-2.jpg,product-magazine-basket.jpg",
Interior,Normann,21%,Gold Motif Vase,73532-37,1.73,79.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-gold-motif-vase.jpg,product-gold-pattern-vase.jpg",
Interior,Normann,21%,Bathroom Set,73532-50,1.73,29.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-bathroom-set.jpg,product-bathroom-set-2.jpg",
Interior,Normann,21%,Plaited Basket,73532-15,1.73,59.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-plaited-basket.jpg,product-plaited-basket-2.jpg",
Interior,Normann,21%,Multicolor Hangers,73532-3,1.73,12.00,10,,Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.,"<p>Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.</p>
<ul>
<li>Mid-century shell chair for your dining room, kitchen or office</li>
<li>Heavy duty ABS plastic seat and natural wood legs</li>
<li>Sturdy reinforced wood with coated wire base</li>
<li>Simple instructions for headache free assembly</li>
<li>Set of 2 chairs: 21″D x 18″W x 32″H (22Lbs)</li>
</ul>","product-multicolor-hangers.jpg,product-multicolor-hangers-2.jpg",
